ID,longi,lati,spd,Time
209,72.97,33.6252,61.9679,"2018-05-27 14:42:54"
208,72.9708,33.6248,61.9679,"2018-05-27 14:42:49"
207,72.9716,33.6244,61.9679,"2018-05-27 14:42:45"
206,72.9722,33.6241,51.6338,"2018-05-27 14:42:40"
205,72.9731,33.6237,51.6338,"2018-05-27 14:42:36"
204,72.9736,33.6234,0,"2018-05-27 14:42:29"
203,72.9745,33.623,43.4294,"2018-05-27 14:42:22"
202,72.9751,33.6227,43.4294,"2018-05-27 14:42:18"
201,72.9756,33.6224,52.9487,"2018-05-27 14:42:13"
200,72.9762,33.6221,52.9487,"2018-05-27 14:42:10"
199,72.9768,33.6218,0,"2018-05-27 14:42:05"
198,72.9774,33.6215,0,"2018-05-27 14:42:01"
197,73.0221,33.6051,60.8938,"2018-05-27 14:36:53"
196,73.0231,33.6049,60.8938,"2018-05-27 14:36:49"
195,73.024,33.6046,60.8938,"2018-05-27 14:36:44"
194,73.0249,33.6043,60.8938,"2018-05-27 14:36:39"
193,73.0257,33.6041,54.5784,"2018-05-27 14:36:34"
192,73.0263,33.6039,46.4296,"2018-05-27 14:36:30"
191,73.0269,33.6037,46.4296,"2018-05-27 14:36:25"
190,73.0276,33.6034,46.4296,"2018-05-27 14:36:20"
189,73.0282,33.6032,0,"2018-05-27 14:36:16"
188,73.0735,33.5866,52.1894,"2018-05-27 14:27:17"
187,73.0741,33.587,52.1894,"2018-05-27 14:27:02"
186,73.0746,33.5874,44.5221,"2018-05-27 14:26:58"
185,73.0751,33.5878,44.5221,"2018-05-27 14:26:53"
184,73.0754,33.5881,44.5406,"2018-05-27 14:26:49"
183,73.0759,33.5885,44.5406,"2018-05-27 14:26:46"
182,73.0762,33.5888,56.2638,"2018-05-27 14:26:40"
181,73.0768,33.5892,56.2638,"2018-05-27 14:26:35"
180,73.0774,33.5896,56.2638,"2018-05-27 14:26:30"
179,73.078,33.5899,44.1146,"2018-05-27 14:26:26"
178,73.0792,33.5905,44.1146,"2018-05-27 14:26:16"
177,73.0796,33.5908,29.8357,"2018-05-27 14:26:12"
176,73.0801,33.5909,29.8357,"2018-05-27 14:26:07"
175,73.0804,33.591,22.6685,"2018-05-27 14:26:02"
174,73.0806,33.5913,22.6685,"2018-05-27 14:25:58"
173,73.0805,33.5915,22.4648,"2018-05-27 14:25:53"
172,73.0802,33.5916,22.4648,"2018-05-27 14:25:49"
171,73.0799,33.5918,59.264,"2018-05-27 14:25:45"
170,73.0793,33.5924,59.264,"2018-05-27 14:25:35"
169,73.079,33.5937,59.264,"2018-05-27 14:25:25"
168,73.079,33.5946,59.264,"2018-05-27 14:25:22"
167,73.0792,33.596,59.6344,"2018-05-27 14:25:13"
166,73.0793,33.5967,59.6344,"2018-05-27 14:25:06"
165,73.0795,33.5973,50.6337,"2018-05-27 14:25:02"
164,73.0799,33.5979,50.6337,"2018-05-27 14:24:57"
163,73.0803,33.5984,49.9484,"2018-05-27 14:24:53"
162,73.0808,33.5988,49.9484,"2018-05-27 14:24:47"
161,73.0821,33.5994,58.801,"2018-05-27 14:24:36"
160,73.083,33.5995,58.801,"2018-05-27 14:24:33"
159,73.0837,33.5996,58.801,"2018-05-27 14:24:26"
158,73.0844,33.5997,54.7266,"2018-05-27 14:24:22"
157,73.0853,33.5998,54.7266,"2018-05-27 14:24:17"
156,73.0868,33.5999,47.8927,"2018-05-27 14:24:07"
155,73.0875,33.6,47.8927,"2018-05-27 14:24:03"
154,73.0881,33.6,51.1152,"2018-05-27 14:23:58"
153,73.0899,33.6002,51.1152,"2018-05-27 14:23:49"
152,73.0942,33.6012,41.8367,"2018-05-27 14:23:12"
151,73.0946,33.6015,41.8367,"2018-05-27 14:23:08"
150,73.095,33.6018,38.5031,"2018-05-27 14:23:04"
149,73.096,33.6025,38.5031,"2018-05-27 14:22:54"
148,73.0963,33.6028,56.7823,"2018-05-27 14:22:52"
147,73.1242,33.6012,0.62968,"2018-05-27 13:41:01"
146,73.1242,33.6012,0,"2018-05-27 13:40:51"
145,73.1242,33.6012,0,"2018-05-27 13:40:42"
144,73.1242,33.6012,0.81488,"2018-05-27 13:40:32"
143,73.1242,33.6012,0.81488,"2018-05-27 13:40:28"
142,73.1242,33.6012,1.05564,"2018-05-27 13:40:24"
141,73.1242,33.6012,0,"2018-05-27 13:40:19"
140,73.1242,33.6012,0,"2018-05-27 13:40:15"
139,73.1242,33.6012,0,"2018-05-27 13:40:05"
138,73.1242,33.6012,0,"2018-05-27 13:40:01"
137,73.1242,33.6012,0.463,"2018-05-27 13:39:57"
136,73.1241,33.6011,0.463,"2018-05-27 13:39:52"
135,73.1241,33.6011,6.79684,"2018-05-27 13:39:47"
134,73.1242,33.6011,6.79684,"2018-05-27 13:39:43"
133,73.1241,33.6013,6.79684,"2018-05-27 13:39:33"
132,73.1242,33.6013,0,"2018-05-27 13:39:29"
131,73.1242,33.6013,0,"2018-05-27 13:39:24"
130,73.1242,33.6013,0,"2018-05-27 13:39:15"
129,73.1242,33.6013,0,"2018-05-27 13:39:10"
128,73.1242,33.6013,0.57412,"2018-05-27 13:39:01"
127,73.1242,33.6013,0.57412,"2018-05-27 13:38:57"
126,73.1242,33.6013,0.51856,"2018-05-27 13:38:52"
125,73.1242,33.6013,0,"2018-05-27 13:38:37"
124,73.34,33.4,33.3,"2018-05-27 12:43:35"
123,73.234,33.567,22.3,"2018-05-26 12:56:32"
122,73.124,33.6014,0,"2018-05-26 12:52:26"
121,73.124,33.6014,0,"2018-05-26 12:52:22"
120,73.124,33.6014,0,"2018-05-26 12:52:13"
119,73.124,33.6014,0,"2018-05-26 12:52:09"
118,73.124,33.6014,0,"2018-05-26 12:52:05"
117,73.124,33.6014,0,"2018-05-26 12:52:02"
116,73.124,33.6014,0,"2018-05-26 12:51:52"
115,73.124,33.6014,0,"2018-05-26 12:51:48"
114,73.124,33.6014,0,"2018-05-26 12:51:38"
113,73.124,33.6014,0,"2018-05-26 12:51:34"
112,73.124,33.6014,0,"2018-05-26 12:51:30"
111,73.124,33.6014,0,"2018-05-26 12:51:17"
110,73.1241,33.6013,0,"2018-05-26 12:51:08"
109,73.1241,33.6013,0,"2018-05-26 12:50:59"
108,73.1241,33.6013,0,"2018-05-26 12:50:55"
107,73.1241,33.6013,0,"2018-05-26 12:50:43"
106,73.1241,33.6013,0,"2018-05-26 12:50:39"
105,73.1241,33.6013,0,"2018-05-26 12:50:34"
104,73.1241,33.6013,0,"2018-05-26 12:50:25"
103,73.1241,33.6013,0,"2018-05-26 12:50:21"
102,73.1241,33.6013,0,"2018-05-26 12:50:12"
101,73.1241,33.6013,0,"2018-05-26 12:50:08"
100,73.1241,33.6013,0,"2018-05-26 12:49:59"
99,73.1241,33.6012,0,"2018-05-26 12:48:52"
98,73.1241,33.6012,0,"2018-05-26 12:48:48"
97,73.1241,33.6012,0,"2018-05-26 12:48:39"
96,73.1241,33.6012,0,"2018-05-26 12:48:34"
95,73.1241,33.6012,0,"2018-05-26 12:48:21"
94,73.1241,33.6012,0,"2018-05-26 12:48:17"
93,73.1241,33.6012,0,"2018-05-26 12:48:13"
92,73.1241,33.6012,0,"2018-05-26 12:48:03"
91,73.1241,33.6012,0,"2018-05-26 12:47:59"
90,73.1241,33.6012,0,"2018-05-26 12:47:56"
89,73.1241,33.6012,0,"2018-05-26 12:47:51"
88,73.1241,33.6012,0,"2018-05-26 12:47:50"
87,73.1241,33.6012,0,"2018-05-26 12:47:38"
86,73.1241,33.6012,0,"2018-05-26 12:47:29"
85,73.1241,33.6012,0,"2018-05-26 12:47:16"
84,73.1241,33.6012,0,"2018-05-26 12:47:12"
83,73.1239,33.6013,0,"2018-05-26 12:47:03"
82,73.1239,33.6013,0,"2018-05-26 12:46:54"
81,73.1239,33.6013,0,"2018-05-26 12:46:45"
80,73.1239,33.6013,0,"2018-05-26 12:46:27"
79,73.1238,33.6013,0,"2018-05-26 12:46:15"
78,73.1238,33.6013,0,"2018-05-26 12:46:10"
77,73.1238,33.6013,0,"2018-05-26 12:46:01"
76,73.1238,33.6013,0,"2018-05-26 12:45:58"
75,73.1238,33.6013,0,"2018-05-26 12:45:54"
74,73.1238,33.6013,0,"2018-05-26 12:45:42"
73,73.1238,33.6013,0,"2018-05-26 12:45:38"
72,73.1242,33.6013,0,"2018-05-26 12:45:28"
71,73.1242,33.6013,0,"2018-05-26 12:45:24"
70,73.1242,33.6013,0,"2018-05-26 12:45:20"
69,73.1242,33.6013,0,"2018-05-26 12:45:16"
68,73.1242,33.6013,0,"2018-05-26 12:45:12"
67,73.1242,33.6013,0,"2018-05-26 12:45:07"
66,73.1242,33.6013,0,"2018-05-26 12:45:03"
65,73.1242,33.6013,0,"2018-05-26 12:44:59"
64,73.1242,33.6013,0,"2018-05-26 12:44:55"
63,73.1242,33.6013,0,"2018-05-26 12:44:52"
62,73.1242,33.6013,0,"2018-05-26 12:44:42"
61,73.1242,33.6013,0,"2018-05-26 12:44:38"
60,73.1242,33.6013,0,"2018-05-26 12:44:33"
59,73.1242,33.6013,0,"2018-05-26 12:44:25"
58,73.1242,33.6013,0,"2018-05-26 12:44:21"
57,73.1242,33.6013,0,"2018-05-26 12:44:12"
56,73.1242,33.6013,0,"2018-05-26 12:44:08"
55,73.1242,33.6013,0,"2018-05-26 12:43:53"
54,73.1242,33.6013,0,"2018-05-26 12:43:48"
53,73.1242,33.6013,0,"2018-05-26 12:43:44"
52,73.1242,33.6013,0,"2018-05-26 12:43:36"
51,73.1242,33.6013,0,"2018-05-26 12:43:32"
50,73.1242,33.6013,0,"2018-05-26 12:43:28"
49,73.1242,33.6013,0,"2018-05-26 12:43:20"
48,73.1242,33.6013,0,"2018-05-26 12:43:16"
47,73.1242,33.6013,0,"2018-05-26 12:43:12"
46,73.1242,33.6013,0,"2018-05-26 12:43:02"
45,73.1242,33.6013,0,"2018-05-26 12:42:59"
